PLAYER_NAME,PTS,AST,REB,TOV,STL,BLK,FG3A,FGA,FTA,FG3_PCT
Johnny Davis,11.3,2.4,5.4,1,1.3,0.7,3,11.5,1.8,0.35
Johnny Juzang,19.2,3.1,4.8,1.7,0.5,0.3,10.3,14.7,1.9,0.416
Jonas Valanciunas,25.3,4.4,18.2,2.8,0.8,1.7,3,18.2,5.2,0.308
Jonathan Isaac,21,1.6,13.9,1.4,2.3,3.7,6,15.3,4.4,0.375
Jonathan Kuminga,28.7,3.9,8.6,2.9,1.3,0.9,4,20.8,7.2,0.321
Jontay Porter,14.8,7.7,10.5,2.7,2.6,2.6,7.7,13.4,2.3,0.333
Jordan Clarkson,26.6,7.8,5.3,4.1,1,0.2,8.7,23.1,5.7,0.294
Jordan Ford,26.7,4.4,4.4,2.2,0,0,6.7,15.6,4.4,0.667
Jordan Goodwin,17,7.1,11.7,2.6,2.2,0.8,6.5,17.6,2.7,0.298
Jordan Hawkins,21.4,2.9,6,1.6,0.8,0.3,12.2,18.6,3.3,0.366
Jordan McLaughlin,14.9,8.4,5.5,1.4,2.7,0.5,6.8,11.1,1.4,0.472
Jordan Miller,20.6,0,7.9,1.6,0,0,3.2,14.3,3.2,0.5
Jordan Nwora,23.4,4,9.6,3.4,1.7,0.8,8.4,19.2,3.4,0.336
Jordan Poole,26.5,6.7,4.1,3.7,1.7,0.5,11,23.2,4.3,0.326
Jordan Walsh,8.9,3,11.8,1.8,3,0.6,5.3,8.9,1.2,0.222
Jose Alvarado,18.6,5.5,6,1.9,2.8,0.7,9.7,16.1,2.4,0.377
Josh Giddey,22.9,9,12,3.9,1.2,1,5.7,19.7,2.9,0.337
Josh Green,14.8,4.1,5.8,1.9,1.5,0.3,5.9,11.8,1.8,0.385
Josh Hart,14.1,6.1,12.5,2.2,1.4,0.4,4.8,12.6,2.1,0.31
Josh Minott,22.9,3.7,7.8,0.9,2.3,2.3,4.6,16.5,6.4,0.4
Josh Okogie,13.8,3.2,7.7,1.8,2.4,1.2,4.7,10.3,5.1,0.309
Josh Richardson,18.7,4.6,5.3,1.6,1.1,0.6,8.4,15.3,2.4,0.347
Joshua Primo,8.3,0,4.2,16.7,0,4.2,4.2,12.5,0,0
Jrue Holiday,18.5,7.2,8,2.7,1.3,1.1,6.9,14.8,1.5,0.429
Juan Toscano-Anderson,6.4,3.6,12.7,1.8,0.9,0.9,3.6,10.9,0,0.25
Jules Bernard,22.4,4.8,7.9,2.4,0.9,0.3,8.8,19.3,2.7,0.379
Julian Champagnie,16,3.3,6.5,1.8,1.5,1.3,8.8,12.8,2.9,0.365
Julian Phillips,13.2,1.9,5.3,1.5,1,1,5.6,11.4,2.8,0.316
Julian Strawther,19.5,4,5.2,2,1.5,0.6,11.9,19.1,2.7,0.297
Julius Randle,32.8,6.8,12.6,4.7,0.7,0.4,7.3,24.9,9,0.311
Justin Champagnie,17.4,3.7,10.4,2,2,1.8,8.8,15.2,2.9,0.289
Justin Holiday,13.1,3.7,4,0.8,2,0.5,7.6,10.9,0.2,0.404
Justin Jackson,0,0,0,0,0,0,0,0,0,0
Justin Minaya,7.9,2.7,7.3,1.2,1.2,1.3,6.4,9.6,1.2,0.245
Jusuf Nurkic,19.2,7,19.3,4,1.9,1.8,2.1,14.5,6,0.244
KJ Martin,14.2,3.2,8.3,2,1.4,0.8,1.8,11.5,2.6,0.286
Kaiser Gates,0,0,6.3,0,0,0,12.5,25,0,0
Karl-Anthony Towns,32.4,4.5,12.4,4.3,1,1,7.9,22.9,7,0.416
Kawhi Leonard,34,5.1,8.8,2.5,2.3,1.2,7.1,24.5,6,0.417
Keegan Murray,21.8,2.4,7.8,1.2,1.5,1.1,9.5,18.1,2.3,0.358
Keita Bates-Diop,14.4,2.8,8.1,1.1,1.8,1.6,5.1,12.2,3.1,0.304
Keldon Johnson,24.6,4.4,8.6,2.3,1.2,0.5,8.3,19.6,5,0.346
Kelly Olynyk,20.4,9.3,11,4.1,2,0.8,4.1,13.3,4.8,0.387
Kelly Oubre Jr.,24.7,2.4,8,2.1,1.8,1.1,7.7,20.7,5.5,0.311
Kendall Brown,15.7,3.7,3.7,1.5,0,0,1.5,11.2,6,0
Kenneth Lofton Jr.,22.5,7.7,8.9,3.3,1.4,1.2,5.6,18.3,6.1,0.292
Kenrich Williams,15.1,4.3,9.7,1.5,1.8,0.4,6.5,13,0.6,0.397
Kentavious Caldwell-Pope,15.6,3.7,3.7,1.5,2,0.9,6.3,12,2.3,0.406
Keon Ellis,15.4,4.2,6.2,1.8,2.5,1.4,8.3,11.5,1.7,0.417
Keon Johnson,24.2,2.3,5.5,3.9,2.3,0.8,7.8,16.4,9.4,0.4
Kessler Edwards,16,2.6,7.2,0.7,1.7,0.7,8.9,14.1,1.5,0.385
Kevin Durant,34.8,6.5,8.5,4.2,1.2,1.6,7,24.6,7.3,0.413
Kevin Huerter,19.9,5.1,6.8,1.6,1.4,0.7,10.4,17,1.4,0.361
Kevin Knox II,18.5,1.9,6.2,1.8,1.1,0.6,7.8,15.4,1.8,0.33
Kevin Love,25.4,6,17.7,2.5,0.9,0.5,12.8,18.8,5.6,0.344
Kevon Harris,28.6,7.1,14.3,7.1,0,0,0,21.4,0,0
Kevon Looney,13.5,5.4,16.9,2,1.1,1.2,0,9.4,3.4,0
Keyontae Johnson,7.9,2.9,7.2,2.9,0.7,0,2.2,11.5,0,0.333
Keyonte George,22.8,7.8,4.9,4.4,0.8,0.2,10.3,19.1,5.2,0.334
Khris Middleton,26.1,9.2,8.1,4,1.6,0.5,7.8,20.3,3.8,0.381
Killian Hayes,13.4,9.5,5.5,2.4,1.7,0.9,3.4,13.2,2.3,0.297
Kira Lewis Jr.,15.7,6.5,4.6,2.5,1.6,0.4,5.8,16.2,3.5,0.121
Klay Thompson,28.3,3.6,5.2,2.4,1,0.7,14.2,23.3,2.8,0.387
Kobe Brown,10.8,3,7.5,1.1,1.5,0.7,5.8,10.9,0.2,0.292
Kobe Bufkin,19.5,6.5,7.9,2.4,1.7,1.2,9.6,22.1,1.9,0.225
Kobi Simmons,14.4,8.6,5,0.7,4.3,1.4,5.8,15.1,0,0.25
Kris Dunn,13.4,9.5,7.1,3,2.5,1,4.2,11.7,1.2,0.369
Kris Murray,13.5,2.9,8.1,2,1.9,0.8,6.6,13.2,2,0.268
Kristaps Porzingis,32.3,3.2,11.5,2.5,1.2,3.1,8.3,21.2,8.5,0.375
Kyle Anderson,13.7,8.9,7.4,2.5,1.9,1.3,1.3,11.7,3.7,0.229
Kyle Kuzma,31.6,6,9.4,3.9,0.8,1,9.2,26.7,4.9,0.336
Kyle Lowry,14.2,7.4,5.7,2.5,1.7,0.6,7.3,11,2.2,0.392
Kyrie Irving,34.9,7,6.8,2.5,1.7,0.7,9.9,26.6,4.9,0.411
LaMelo Ball,34.6,11.6,7.4,5.5,2.6,0.3,12.9,27.8,6.8,0.355
Lamar Stevens,23.8,2.4,11.1,2.1,2,1.9,4,21,4.7,0.304
Landry Shamet,20.8,3.4,3.9,1.9,1.6,0.6,10,17.4,2.9,0.338
Larry Nance Jr.,13.9,4.5,12.2,1.9,2.4,0.8,2.6,9.5,2.4,0.415
Lauri Markkanen,32.9,2.8,11.6,2,1.3,0.7,11.3,22.9,7.1,0.399
LeBron James,34.4,11.1,9.8,4.6,1.7,0.7,6.8,23.9,7.6,0.41
Leaky Black,11.8,4.1,8.2,1,1.4,1.9,3.4,8.9,2.6,0.45
Leonard Miller,23.6,6.5,16.3,0.8,1.6,0.8,4.1,16.3,1.6,0.4
Lester Quinones,19.5,4.3,8.6,2,0.7,0.2,10.5,16.8,3.5,0.364
Lindell Wigginton,35.3,0,0,5.9,0,0,11.8,29.4,11.8,0
Lindy Waters III,22.9,4,6.7,1.2,0.8,1.2,14.2,17.4,0.3,0.435
Lonnie Walker IV,26.7,3.5,6,2.4,1.5,0.9,12.8,23.2,2.8,0.384
Luguentz Dort,18.1,2.4,6,1.6,1.5,1,8.3,13.8,3.3,0.394
Luka Doncic,42.9,12.4,11.7,5.1,1.8,0.7,13.5,29.9,11,0.382
Luka Garza,35.5,1.4,11.1,2.2,1.4,0.4,11.5,26.9,9,0.281
Luka Samanic,20.4,2.2,11.8,3.2,0.6,0.8,7.4,18.2,6.5,0.203
Luke Kennard,20.7,6.6,5.5,2.6,1,0.1,11.5,15.2,2.2,0.45
Luke Kornet,16.9,3.4,13.2,1.1,1.2,3.1,0.1,10.3,2.7,1
Malachi Flynn,20.9,7.1,6.3,3.5,2.1,0.4,9.3,17.9,3.9,0.331
Malaki Branham,20,4.5,4.3,2.6,0.8,0.2,7.8,18.2,1.8,0.347
Malcolm Brogdon,26.4,9.2,6.4,2.6,1.2,0.3,8.6,21.3,5,0.412
Malcolm Cazalon,0,0,0,0,0,0,0,0,0,0
Malik Beasley,17.8,2.2,5.8,1.1,1.2,0.2,10.9,14.5,0.7,0.413
Malik Monk,27.9,9.3,5.3,3.8,1.1,1,10.6,22.4,5.2,0.35
Malik Williams,8.6,0.9,17.3,1.4,1.4,1.8,2.3,15.5,0.9,0.2
Mamadi Diakite,23.5,3.9,7.8,2,2,2,2,11.8,11.8,0
Maozinha Pereira,18.6,0.8,14.3,1.9,2.3,1.6,5,13.6,3.9,0.385
MarJon Beauchamp,16.1,2.4,7.6,2.1,1,0.5,5.7,12.7,2.1,0.4
Marcus Morris Sr.,18.9,2.1,8,1.8,0.9,0.8,7.1,15.8,2.6,0.403
Marcus Sasser,20.4,8.2,4.4,3.1,1.5,0.4,8.4,17.8,2.3,0.375
Marcus Smart,22.4,6.7,4.1,4.8,3.2,0.4,10.4,18.4,4.3,0.313
Mark Williams,22.9,2.1,17.4,1.6,1.5,1.9,0,14.3,6.1,0
Markelle Fultz,17.9,6.4,7.4,2.7,2.2,0.8,1,17.4,1.8,0.222
Markieff Morris,13.8,3.3,8.1,2.5,1,0.6,8.8,14.2,1.3,0.357
Markquis Nowell,28.6,28.6,28.6,0,14.3,0,0,14.3,28.6,0
Marques Bolden,14.5,1.6,13.3,1.2,1.2,2.7,0.4,9.8,1.6,0
Marvin Bagley III,25.8,2.4,13.8,2.6,0.9,1.5,1,18.1,5.6,0.391
Mason Jones,12.3,8.8,8.8,3.5,1.8,0,12.3,14,3.5,0.286
Mason Plumlee,17.2,3.9,16.5,2.5,1,1.2,0.4,10.8,7,0
Matisse Thybulle,11.5,2.9,4.4,1.3,3.7,1.6,7.5,10.3,0.9,0.346
Matt Hurt,13.7,1.7,6.9,0.9,1.3,1.3,8.6,14.6,1.3,0.25
Matt Ryan,18,2.1,4.7,2.2,0.7,0.1,10.8,13.4,1.7,0.451
Max Christie,13.8,2.9,6.9,1.7,1,0.8,5.7,11.7,2.2,0.356
Max Strus,18.3,6.1,7.3,2.4,1.4,0.6,10.3,15.7,2.1,0.351
Maxi Kleber,10.3,3.7,7.7,1.5,0.9,1.6,5,7.9,2.5,0.348
Maxwell Lewis,4.8,2.6,1.8,4.4,0.9,0.4,4,9.3,1.3,0.111
Micah Potter,13.7,1.6,11.1,1.3,1,1.6,5.4,10.3,2.1,0.429
Michael Porter Jr.,25.8,2.3,10.8,1.8,0.8,1,10.6,20.6,2.1,0.397
Mikal Bridges,27.4,5.1,6.4,2.8,1.4,0.5,10.1,22.1,5.4,0.372
Mike Conley,19.5,10.1,4.9,2.3,2,0.4,9.1,14.4,2.5,0.442
Mike Muscala,12.1,2.9,9.7,1.7,0.7,1,7.4,12.1,1.9,0.292
Miles Bridges,27.3,4.4,9.5,2.6,1.2,0.6,8.5,22.8,4,0.349
Miles McBride,21.4,4.3,3.8,1.1,1.9,0.3,10.1,17.2,1.9,0.41
Mitchell Robinson,11.2,1.2,17,1.6,2.4,2.3,0,8.2,4.3,0
Mo Bamba,16.8,2.7,15.8,2.6,1.5,4,4.2,13.1,3.3,0.391
Monte Morris,16.7,7,5.8,0.7,1.9,0.9,7.1,15.6,1.9,0.386
Moritz Wagner,29.8,3.3,11.9,3.3,1.3,0.7,4,19,7,0.33
Moses Brown,17.9,1.7,20.5,2.6,1.2,1.7,0,15.5,7.4,0
Moses Moody,21.9,2.3,8.1,1.8,1.7,1,8.2,17.3,3.8,0.36
Mouhamadou Gueye,10.2,2,9,4.7,1.2,7.1,1.2,14.9,3.5,0
Mouhamed Gueye,15.2,2.5,13.9,0.6,3.2,2.5,5.7,14.6,3.8,0.333
Moussa Diabate,22.3,3.1,18.5,1.5,3.8,0.8,0,14.6,10.8,0
Myles Turner,29.6,2.3,12,2.5,0.9,3.2,7.3,20.5,7.2,0.358
Naji Marshall,17.7,4.9,9.1,2.5,1.9,0.5,5.7,14,3.3,0.387
Nassir Little,15.7,2.2,7.7,1.4,1,1,7.2,12.8,2.1,0.3
Nate Hinton,19.2,5.8,12.8,1.7,1.7,1.2,8.1,15.1,2.9,0.5
Nate Williams,22,2.4,8,1.4,1.4,0.3,1.7,17.4,4.5,0.4
Nathan Mensah,5.2,1.4,10.3,2.2,0.9,2.2,0,4.4,1.9,0
Naz Reid,26.6,2.6,10.3,2.7,1.5,1.8,10,20.8,3.6,0.414
Neemias Queta,22.5,2.9,17.9,1.9,1.9,3.1,0,15.2,4.1,0
Nic Claxton,19.5,3.4,16.3,2.2,1.1,3.4,0.1,13.5,4.5,0.2
Nick Richards,18.2,1.5,15.1,2,0.7,2.1,0,10.5,5,0
Nick Smith Jr.,20.4,4,4.9,2.6,0.7,0.5,9.9,19.5,1,0.432
Nickeil Alexander-Walker,16.4,5.1,4.2,1.9,1.6,1,8.4,13.4,1.6,0.391
Nicolas Batum,10.2,4.1,7.9,1.3,1.5,1.2,5.9,8.2,0.7,0.395
Nikola Jokic,37.2,12.6,17.4,4.2,1.9,1.2,4.1,25.2,7.8,0.359
Nikola Jovic,19.3,4.9,10.5,2.3,1.4,0.8,8.9,15.4,2.6,0.399
Nikola Vucevic,25.9,4.8,15.2,2.3,0.9,1.1,5.9,22.9,2.4,0.294
Noah Clowney,17.3,2.3,10.6,2,1,2.1,4.3,12.1,3.9,0.364
Norman Powell,25.4,2,4.7,1.6,1,0.5,9.2,18.5,4.1,0.435
OG Anunoby,20.9,3.1,5.9,2.3,1.9,1,7.6,16.5,2.5,0.382
Obi Toppin,22.3,3.4,8.5,1.8,1.2,1.1,6.7,15.3,2.6,0.403
Ochai Agbaji,13.1,2.4,6.2,1.8,1.4,1.3,6.1,12.5,1.6,0.294
Olivier Sarr,16.4,1,17.4,1.4,0,3.4,2.9,9.2,7.2,0.333
Olivier-Maxence Prosper,16.4,3,10.7,1.1,0.9,0.5,6.1,14.1,5.6,0.289
Omer Yurtseven,19.3,2.5,18.1,3.2,0.7,1.6,2.1,16,2.4,0.208
Onuralp Bitim,14.3,2.3,5.7,1.8,0.5,0.4,7.9,15,0.9,0.273
Onyeka Okongwu,18.6,2.5,12.5,1.5,0.9,2,2.3,12.1,3.8,0.333
Orlando Robinson,16,5.5,13.6,2.9,1.1,1.3,2.4,11.7,4,0.533
Oscar Tshiebwe,27.7,2.1,17,0,2.1,1.1,0,21.3,8.5,0
Oshae Brissett,15.3,3.4,12.2,1.5,1.4,0.6,4.2,11.7,6.3,0.273
Otto Porter Jr.,10.4,2.1,7.7,0.5,1.3,1.3,6.1,8.8,0.8,0.348
Ousmane Dieng,17.5,4.9,6.7,2.5,1.1,0.7,9.2,15.3,2.1,0.3
P.J. Tucker,5.2,1.6,8.6,0.8,1.6,0.7,3.5,5,0.3,0.371
P.J. Washington,20.2,3,8.8,2.1,1.5,1.3,8.9,17.4,3.1,0.32
Paolo Banchero,31.5,7.5,9.7,4.3,1.2,0.8,6.1,24.6,9.8,0.339
Pascal Siakam,31.1,6.1,10.1,2.5,1.1,0.4,4.4,22.7,7.1,0.346
Pat Connaughton,12.1,4.5,6.7,1.4,1.1,0.5,6.7,9.8,1.6,0.345
Pat Spencer,7.1,8.9,7.1,1.8,0,0,3.6,7.1,0,0
Patrick Baldwin Jr.,15.6,2.7,11.4,1.8,1.7,1.4,9,14.4,2.6,0.32
Patrick Beverley,15.1,7.1,8,2.2,1.4,1,6,12.7,3,0.337
Patrick Williams,17.9,2.8,6.9,2.4,1.7,1.4,6.2,15,2.8,0.399
Patty Mills,14.6,3.9,4,1.8,2.3,0.1,10,15.1,1.3,0.276
Paul George,32.9,5.2,7.6,3,2.2,0.7,11.6,24.3,5.7,0.413
Paul Reed,18.6,3.4,15.2,2.1,2.1,2.6,1.8,14.9,2.6,0.368
Payton Pritchard,21.4,7.7,7.2,1.7,1.1,0.2,10.4,17.3,1.5,0.385
Pete Nance,5.8,0,5.8,1.9,1.9,0,1.9,11.5,3.8,1
Peyton Watson,17.5,2.8,8.5,1.9,1.4,2.9,5,14.7,3.5,0.296
Precious Achiuwa,17.4,3,15,2.5,1.4,2.1,3,14.4,3.4,0.268
Quentin Grimes,17.3,3.2,4.8,1.3,1.7,0.3,11.5,15.8,2.2,0.338
Quenton Jackson,8.3,8.3,16.7,0,4.2,0,0,4.2,8.3,0
R.J. Hampton,6.3,5.1,3.8,1.9,0,0,5.1,8.9,1.3,0.125
RJ Barrett,30.1,5,8.1,3.2,0.8,0.6,6.4,22.6,7.5,0.36
RaiQuan Gray,28,7.3,8.5,1.2,1.2,1.2,8.5,20.7,0,0.429
Rayan Rupert,11.8,4.7,7,2.4,0.9,0.2,5.9,12.2,1.9,0.359
Reggie Bullock Jr.,10.9,1.7,8.3,1.1,1.4,0.6,7.6,9.3,0.1,0.403
Reggie Jackson,22,8.1,4.1,2.8,1.2,0.3,7.5,20,2.6,0.359
Richaun Holmes,16.8,2.1,15.4,2,0.9,1.6,0.3,12.4,4,0.333
Ricky Council IV,28,2.6,7.4,0.8,1.3,0.2,5.2,18.1,11.5,0.375
Robert Covington,12.7,2.4,9.7,1.1,3.9,1.8,5.6,9.8,2.6,0.339
Robert Williams III,16.3,2,15.1,2.8,2.8,2.8,0,10.3,3.6,0
Robin Lopez,12.6,2.8,3.5,1.4,0.7,2.1,5.6,13.3,1.4,0.25
Ron Harper Jr.,0,12.5,0,0,0,0,0,0,0,0
Royce O'Neale,14.9,5.4,9.2,1.8,1.4,1.1,10.3,13.2,0.9,0.37
Rudy Gobert,20.2,1.9,18.7,2.2,1,3.1,0.1,11.7,7.4,0
Rui Hachimura,23.7,2.1,7.6,1.2,1.1,0.6,6,17.4,3.4,0.422
Russell Westbrook,23.2,9.4,10.6,4.4,2.3,0.7,4.7,20.4,4.9,0.273
Ryan Arcidiacono,0,4.2,8.4,2.1,2.1,0,6.3,6.3,0,0
Ryan Rollins,25.1,8,7.4,4.6,5.7,1.7,2.3,15.4,9.7,0.75
Saben Lee,18.1,7.6,7.9,2,1.8,0.8,4.1,14,9.9,0.125
Saddiq Bey,19.7,2.1,9.4,1.2,1.2,0.3,8.2,15.9,4.6,0.316
Sam Hauser,20,2.3,7.7,0.9,1.1,0.7,13,15.7,0.5,0.424
Sam Merrill,22.2,4.9,5.5,0.9,0.9,0.2,16.2,18,1.3,0.404
Sandro Mamukelashvili,19.3,5,15,1.9,0.7,1.2,6.5,15.8,3.5,0.297
Santi Aldama,19.7,4.2,10.6,2.1,1.3,1.6,9.2,17.1,2.6,0.349
Sasha Vezenkov,20.7,1.7,8.8,1.1,1.8,0.6,11,17.6,1.4,0.375
Scoot Henderson,23.9,9.2,5.3,5.8,1.3,0.4,7.4,21.9,5.6,0.325
Scottie Barnes,27,8.2,11.2,3.7,1.7,2,6.7,21.3,5.7,0.341
Scotty Pippen Jr.,24.6,8.9,6.1,5.1,3.3,0.9,6.5,18.4,5,0.417
Seth Curry,17.4,3.4,5.2,1.6,1.7,0.5,8.3,15.7,2.4,0.352
Seth Lundy,12.6,0,6.3,0.9,0,0,11.7,15.3,3.6,0.231
Shaedon Sharpe,23.3,4.3,7.3,3.3,1.3,0.5,8.2,19.8,5.4,0.333
Shai Gilgeous-Alexander,41.4,8.5,7.6,3,2.8,1.2,4.9,27.3,11.9,0.353
Shake Milton,17.1,4.8,5.9,2.5,1.5,0.5,5.1,15.4,3.9,0.281
Shaquille Harrison,15.4,0,15.4,0,0,7.7,0,15.4,0,0
Sidy Cissoko,14.6,3.2,7.1,1,2.3,1,3.9,10.7,4.9,0.083
Simone Fontecchio,19.7,2.9,7,1.9,1.2,0.7,9.5,15.6,1.9,0.401
Skylar Mays,17.3,9.5,4.8,2.2,2.3,0.4,6,17.8,1.9,0.296
Spencer Dinwiddie,17.7,7.9,4.6,2,1.1,0.5,8.2,14.2,4.7,0.337
Stanley Umude,19.3,1.7,7.7,2.1,1.2,1.1,8,12.7,4.9,0.453
Stephen Curry,37.9,7.3,6.4,4.1,1,0.5,17,28,6.3,0.408
Svi Mykhailiuk,19.1,4.1,6,1.4,1.3,0.1,12.7,16.2,1.1,0.389
T.J. McConnell,26.1,14,6.9,3.9,2.6,0.3,1.6,21.3,2.2,0.409
T.J. Warren,15,3.3,8,1.5,1.5,0.4,4.7,15,1.5,0.154
Taj Gibson,7.9,2.6,8.6,1.2,0.7,1.6,2.3,8.6,0.5,0.2
Talen Horton-Tucker,24.4,8.4,5.7,3.1,2.1,0.9,8.6,22,5.1,0.33
Tari Eason,21.3,2.7,15.1,2,3.1,1.9,4.9,18.7,3.3,0.36
Taurean Prince,15.5,2.6,5.1,1.6,1.3,0.8,7.9,12.7,1.5,0.396
Taylor Hendricks,16.2,1.8,10.3,1.5,1.6,1.7,7.8,13.3,1.6,0.379
Taze Moore,19.6,5.4,8.7,3.3,2.2,0,7.6,20.7,2.2,0.143
Terance Mann,17.3,3.1,6.7,1.3,1.1,0.4,5.4,13,2.5,0.348
Terquavion Smith,26,6,2,3.5,4,0,17.5,23,2.5,0.371
Terry Rozier,28.8,8.2,5.9,2.5,1.5,0.5,9.8,23.8,4.7,0.363
Terry Taylor,11.7,2.5,9.4,1.8,1.3,0.5,2.3,9.9,1.3,0.222
Thaddeus Young,15.2,6.3,11.4,1.7,2.5,0.6,0.8,12,1.7,0.143
Thanasis Antetokounmpo,9.7,5.2,3.9,4.2,2.1,1.2,0.3,9.1,0.6,0
Theo Maledon,12.7,6,5.2,3.9,1.5,0,6.5,15.1,3.2,0.167
Thomas Bryant,24,2.5,15.6,2.3,1.1,1.8,2.4,16.5,5.2,0.182
Tim Hardaway Jr.,25.2,3.1,5.6,1.5,0.9,0.1,13.2,21.6,3.7,0.353
Timmy Allen,5.1,2,6.6,0.8,1.6,0,2.7,9,0.8,0
Tobias Harris,24.7,4.4,9.3,1.9,1.4,0.9,5.3,19.5,4.4,0.353
Torrey Craig,14.2,2.7,10.2,1.5,1.4,1,7.2,11.8,1.7,0.392
Tosan Evbuomwan,13.4,2.1,8,1.2,0.8,0.7,4.3,9.4,3.3,0.375
Toumani Camara,14.7,2.4,9.6,2.3,1.8,0.9,4.8,12.2,2.8,0.337
Trae Young,32.8,13.7,3.5,5.5,1.7,0.3,11.1,23.8,9.6,0.373
Trayce Jackson-Davis,22.7,3.4,14.3,2.1,1.2,3.2,0,14,5.6,0
Tre Jones,16.8,10.4,6.3,2.5,1.7,0.2,4.2,13.1,2.6,0.335
Tre Mann,19,8.2,7.4,3.2,2.5,0.1,6.3,15.7,2.9,0.373
Trendon Watford,24.5,4.6,11,3.6,1.3,1.1,3.9,17.7,5.5,0.397
Trent Forrest,9.8,10.8,6,2.4,1.3,0.4,1.2,10.6,2,0.2
Trevelin Queen,12,5.4,6,2.1,2.1,1.5,5.1,11.4,3.6,0.176
Trey Jemison,14.7,2.3,11.5,2.9,1,2.4,0,11.7,2.2,0
Trey Lyles,17.3,3,10.6,1.6,0.7,0.8,9,13.2,2.9,0.384
Trey Murphy III,24,3.5,8,1,1.5,0.8,12.7,17.7,4.3,0.38
Tristan Thompson,14.4,4.6,15.6,2.6,1.1,1.3,0.1,10.7,4.7,0
Tristan Vukcevic,25.3,3.9,10.7,3,1.5,2.1,10.7,19.9,6.5,0.278
Troy Brown Jr.,14.2,3.4,8.3,1.7,1.4,0.2,8.1,13,2.1,0.333
Ty Jerome,13.3,10,3.3,3.3,0,0,3.3,13.3,0,0
TyTy Washington Jr.,11.2,4,4,1.6,2.4,0,4.8,16,0,0.333
Tyler Herro,30.3,6.5,7.7,3.2,1,0.1,11.5,25.5,3.8,0.396
Tyrese Haliburton,29,15.7,5.7,3.3,1.7,1,11.2,21.9,4.7,0.364
Tyrese Maxey,33.6,8,4.8,2.1,1.3,0.6,10.5,26.3,7,0.373
Tyus Jones,18.8,11.5,4.3,1.6,1.7,0.4,6.1,15.8,1,0.414
Udoka Azubuike,14.6,1.3,13.3,1.7,0.4,2.5,0,9.6,5.4,0
Usman Garuba,7,2.3,16.3,4.7,2.3,7,2.3,14,4.7,0
Vasilije Micic,17.6,10.9,3.7,4.1,1.3,0.3,6.4,15.4,3.1,0.279
Victor Wembanyama,33.5,6,16.6,5.7,1.9,5.6,8.7,26.1,8.1,0.325
Vince Williams Jr.,17.6,5.9,9.8,3.1,1.6,1.1,7.1,12.8,4.4,0.378
Vit Krejci,12.2,4.5,4.7,1.8,1.2,0.5,6.2,9.4,0.5,0.412
Walker Kessler,16.5,1.9,15.4,2.1,1,4.9,0.6,11.2,3,0.211
Wendell Carter Jr.,21.1,3.3,13.3,2.4,1.2,1,6,14.8,4.7,0.374
Wendell Moore Jr.,10,3.3,6.7,2.2,2.8,0.6,3.3,10,0,0
Wenyen Gabriel,10.4,1.8,15.2,4.9,1.2,1.2,3.7,13.4,3,0.167
Wesley Matthews,12.7,2.7,6.1,0.9,1.9,1.3,8,11.2,2.8,0.348
Xavier Moon,12.8,8.2,7,1.9,1.2,1.2,6.6,17.9,0.8,0.118
Xavier Tillman,14.1,3.8,10.5,1.7,2.5,2.2,4,13.8,2.5,0.247
Yuta Watanabe,12.1,1.5,5.6,2,1.2,0.7,8.8,12,1.8,0.294
Zach Collins,23.9,6,11.4,4.1,1,1.6,5.6,19,5,0.32
Zach LaVine,27.4,5.5,7.2,2.9,1.2,0.4,9.5,21.1,5.8,0.349
Zavier Simpson,12.5,7.4,5.9,3,2.1,0.9,5,16,1.2,0.294
Zeke Nnaji,15.8,2.7,10.6,2.3,1.3,3.2,1.9,12.6,5.3,0.261
Ziaire Williams,19.5,3.5,8.3,3.1,1.7,0.4,8.8,17.5,3.5,0.307
Zion Williamson,34.3,7.5,8.7,4.1,1.6,1,0.4,23.5,10.6,0.333
